combo,realization,seed,n_sne,logz,pkl_path,alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,0,2000,1820,-451.2716787434019,Plots/z_uncert/z_000_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17540110002421735,3.7755859242923044,0.06927572860825278,0.35122950556675403,-0.32224641580785013,1.4403106872976679,-0.10010256187873666
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,1,2001,1820,-470.47956086514165,Plots/z_uncert/z_001_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17761538315672346,3.7685142614093703,0.06457483388252551,0.35310159163582044,-0.3611064798118693,1.5408208853913608,-0.09992596785143497
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,2,2002,1820,-452.4031065497871,Plots/z_uncert/z_002_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.176005317703797,3.7758210806571286,0.06358637665248724,0.35354495921692314,-0.3220902715546487,1.45104804055808,-0.10547968112942163
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,3,2003,1820,-449.5048497752465,Plots/z_uncert/z_003_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17596226007922366,3.7575321450186148,0.07117750423767676,0.34628139332154817,-0.32146407326966275,1.5247703264278847,-0.09992331450572293
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,4,2004,1820,-438.00185818104785,Plots/z_uncert/z_004_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.179505851172491,3.745359828329752,0.06837542384671191,0.34833407765526203,-0.3097060355333276,1.5429991139489674,-0.10775368530507094
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,5,2005,1820,-447.73095035429577,Plots/z_uncert/z_005_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17663957883890788,3.779676507111008,0.06432157169104905,0.3498325440020803,-0.29127366477225836,1.4341015258822982,-0.11192860816438113
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,6,2006,1820,-455.0648805028022,Plots/z_uncert/z_006_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.176284024071837,3.744900486090643,0.06405672459640271,0.3447847011617908,-0.356711730929357,1.5338290121443545,-0.10230214964396923
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,7,2007,1820,-439.6242336669106,Plots/z_uncert/z_007_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17784161946035618,3.7783665238037347,0.06863684831418099,0.3524013854884031,-0.3057218170049822,1.4800477388548574,-0.10403697718108812
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,8,2008,1820,-445.072238381334,Plots/z_uncert/z_008_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17649142027526737,3.781111167005825,0.07219785894226631,0.3549362616064498,-0.31318007614384336,1.452955568680054,-0.09962012410924874
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,9,2009,1820,-448.42492822367234,Plots/z_uncert/z_009_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17530396358340247,3.7929048628207145,0.06085693066846368,0.3512277491725653,-0.31475040512125513,1.430306443655312,-0.1084794791404284
