combo,param,n_realizations,baseline_mean,baseline_posterior_std,mc_mean,mc_std,mc_std_as_frac_of_posterior_std,bias_nsigma,flagged
mass_step,alpha,80,0.17226625002779924,0.005233347049073583,0.17218522373486084,0.0011538214902919845,0.22047486617502965,-0.015482690557040546,True
mass_step,beta,80,3.0950983208591207,0.055141296019639886,3.0957018547414394,0.008808057432849112,0.15973613369029108,0.010945224829386393,False
mass_step,gamma,80,0.06200809989227037,0.012530408990130923,0.06197071806875411,0.0026291406531701303,0.20982081712104272,-0.0029832883783528076,True
mass_step,Om0,80,0.3422574326518519,0.015317796514256557,0.343248570359656,0.0030791310800810366,0.20101658076050508,0.06470497939319494,True
