run_name,param,prior_type,prior_mu,prior_sigma,post_mean,post_std,shrinkage,pull,flag
mass/mass_tanh_M0_tau,Om0,truncated_gaussian,0.3175,0.0275,0.34763,0.01574,0.4276,1.0956,
ssfr/ssfr_linear,Om0,truncated_gaussian,0.3175,0.0275,0.35584,0.01574,0.4276,1.3942,
ssfr/ssfr_sigmoid,Om0,truncated_gaussian,0.3175,0.0275,0.36012,0.01573,0.428,1.5498,
host_col_model/host_colour_asymm_mass_none_htau,Om0,truncated_gaussian,0.3175,0.0275,0.36044,0.01573,0.428,1.5615,
sn_col_model/sncolour_dust_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35212,0.01573,0.428,1.2589,
sn_col_model/sncolour_dust,Om0,truncated_gaussian,0.3175,0.0275,0.35084,0.01572,0.4284,1.2124,
ssfr/ssfr_tanh_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35952,0.01572,0.4284,1.528,
sn_col_model/sncolour_quadratic,Om0,truncated_gaussian,0.3175,0.0275,0.35783,0.01571,0.4287,1.4665,
ssfr/ssfr_tanh_F0ftau_uniformftau,Om0,truncated_gaussian,0.3175,0.0275,0.3594,0.01571,0.4287,1.5236,
ssfr/ssfr_step_nomass_nohcol_F0,Om0,truncated_gaussian,0.3175,0.0275,0.35687,0.0157,0.4291,1.4316,
host_col_model/host_colour_broken_mass_none,Om0,truncated_gaussian,0.3175,0.0275,0.36073,0.0157,0.4291,1.572,
stretch/stretch_softbroken,Om0,truncated_gaussian,0.3175,0.0275,0.35927,0.0157,0.4291,1.5189,
ssfr/ssfr_step_massstep_M0,Om0,truncated_gaussian,0.3175,0.0275,0.35753,0.0157,0.4291,1.4556,
stretch/stretch_tanh_x10,Om0,truncated_gaussian,0.3175,0.0275,0.35411,0.01568,0.4298,1.3313,
host_col_model/host_colour_quadratic_mass_sigmoid_inter,Om0,truncated_gaussian,0.3175,0.0275,0.34652,0.01568,0.4298,1.0553,
ssfr/ssfr_step_F0,Om0,truncated_gaussian,0.3175,0.0275,0.3592,0.01567,0.4302,1.5164,
mass/mass_gaussian_weight_M0_tau,Om0,truncated_gaussian,0.3175,0.0275,0.35224,0.01567,0.4302,1.2633,
ssfr/ssfr_tanh_F0,Om0,truncated_gaussian,0.3175,0.0275,0.35966,0.01567,0.4302,1.5331,
ssfr/ssfr_step_nomass_F0,Om0,truncated_gaussian,0.3175,0.0275,0.36094,0.01566,0.4305,1.5796,
ssfr/ssfr_step_nomass_nohcol,Om0,truncated_gaussian,0.3175,0.0275,0.36064,0.01566,0.4305,1.5687,
ssfr/ssfr_sigmoid_ftau,Om0,truncated_gaussian,0.3175,0.0275,0.36005,0.01566,0.4305,1.5473,
ssfr/ssfr_sigmoid_nomass_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.36122,0.01565,0.4309,1.5898,
ssfr/ssfr_tanh_nomass_nohcol_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35741,0.01564,0.4313,1.4513,
evolution/alpha_z_zz,Om0,truncated_gaussian,0.3175,0.0275,0.35239,0.01563,0.4316,1.2687,
ssfr/ssfr_tanh_nomass_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.36118,0.01563,0.4316,1.5884,
ssfr/ssfr_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.36063,0.01563,0.4316,1.5684,
host_col_model/host_colour_sigmoid_mass_none_htau,Om0,truncated_gaussian,0.3175,0.0275,0.36037,0.01562,0.432,1.5589,
stretch/stretch_asymm,Om0,truncated_gaussian,0.3175,0.0275,0.36405,0.01562,0.432,1.6927,
sn_col_model/sncolour_softbroken,Om0,truncated_gaussian,0.3175,0.0275,0.36628,0.01561,0.4324,1.7738,
mass/mass_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.35005,0.01561,0.4324,1.1836,
mass/mass_sigmoid_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34704,0.01561,0.4324,1.0742,
sn_col_model/sncolour_tanh_c0_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35667,0.01561,0.4324,1.4244,
mass/mass_sigmoid_M0_tau,Om0,truncated_gaussian,0.3175,0.0275,0.34695,0.01561,0.4324,1.0709,
mass/mass_doublestep,Om0,truncated_gaussian,0.3175,0.0275,0.34713,0.01561,0.4324,1.0775,
evolution/alpha_z_step,Om0,truncated_gaussian,0.3175,0.0275,0.35133,0.01561,0.4324,1.2302,
stretch/stretch_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.35759,0.0156,0.4327,1.4578,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34797,0.0156,0.4327,1.108,
stretch/stretch_quadratic,Om0,truncated_gaussian,0.3175,0.0275,0.35118,0.01559,0.4331,1.2247,
host_col_model/host_colour_tanh_mass_none,Om0,truncated_gaussian,0.3175,0.0275,0.36031,0.01559,0.4331,1.5567,
mass/mass_linear,Om0,truncated_gaussian,0.3175,0.0275,0.34616,0.01558,0.4335,1.0422,
host_col_model/host_colour_quadratic_mass_tanh_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34971,0.01558,0.4335,1.1713,
mass/mass_tanh_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34842,0.01556,0.4342,1.1244,
sn_col_model/sncolour_broken,Om0,truncated_gaussian,0.3175,0.0275,0.35118,0.01556,0.4342,1.2247,
sn_col_model/sncolour_stepbroken_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35763,0.01556,0.4342,1.4593,
sn_col_model/sncolour_gaussweight_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35191,0.01556,0.4342,1.2513,
stretch/stretch_tanh_x10x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.3514,0.01555,0.4345,1.2327,
mass/mass_step_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34889,0.01554,0.4349,1.1415,
host_col_model/host_colour_quadratic_mass_step_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34935,0.01554,0.4349,1.1582,
stretch/stretch_stepbroken_x10x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35096,0.01554,0.4349,1.2167,
evolution/alpha_z_linear,Om0,truncated_gaussian,0.3175,0.0275,0.35235,0.01553,0.4353,1.2673,
stretch/stretch_sigmoid_x10x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35179,0.01553,0.4353,1.2469,
stretch/stretch_doublebroken_x10x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35133,0.01553,0.4353,1.2302,
host_col_model/host_colour_asymm_mass_tanh_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34019,0.01553,0.4353,0.8251,
stretch/stretch_asymm_x10x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35179,0.01553,0.4353,1.2469,
evolution/alpha_z_exp,Om0,truncated_gaussian,0.3175,0.0275,0.35226,0.01552,0.4356,1.264,
stretch/stretch_softbroken_x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35415,0.01552,0.4356,1.3327,
stretch/stretch_asymm_x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35215,0.01552,0.4356,1.26,
stretch/stretch_sigmoid,Om0,truncated_gaussian,0.3175,0.0275,0.35479,0.01552,0.4356,1.356,
mass/mass_spline,Om0,truncated_gaussian,0.3175,0.0275,0.34764,0.01552,0.4356,1.096,
interaction/gamma_alpha,Om0,truncated_gaussian,0.3175,0.0275,0.35278,0.01552,0.4356,1.2829,
host_col_model/host_colour_quadratic_mass_tanh_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34838,0.01551,0.436,1.1229,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.35037,0.01551,0.436,1.1953,
nuisance/no_gamma_beta,Om0,truncated_gaussian,0.3175,0.0275,0.41633,0.0155,0.4364,3.5938,prior_in_tension
interaction/beta_alpha,Om0,truncated_gaussian,0.3175,0.0275,0.35111,0.0155,0.4364,1.2222,
ssfr/ssfr_step_nohcol,Om0,truncated_gaussian,0.3175,0.0275,0.3558,0.0155,0.4364,1.3927,
stretch/stretch_powerlaw_x10x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35141,0.01549,0.4367,1.2331,
host_col_model/host_colour_linear_mass_tanh_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.3395,0.01549,0.4367,0.8,
sn_col_model/sncolour_dust_c0sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35163,0.01548,0.4371,1.2411,
nuisance/no_alpha_beta,Om0,truncated_gaussian,0.3175,0.0275,0.41598,0.01548,0.4371,3.5811,prior_in_tension
stretch/stretch_softbroken_x10x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35086,0.01548,0.4371,1.2131,
mass/mass_sigmoid,Om0,truncated_gaussian,0.3175,0.0275,0.34915,0.01547,0.4375,1.1509,
evolution/alpha_z_power,Om0,truncated_gaussian,0.3175,0.0275,0.35217,0.01546,0.4378,1.2607,
host_col_model/host_colour_sigmoid_mass_tanh_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.3405,0.01546,0.4378,0.8364,
mass/mass_doublestep_M0_M1,Om0,truncated_gaussian,0.3175,0.0275,0.3466,0.01545,0.4382,1.0582,
nuisance/no_gamma,Om0,truncated_gaussian,0.3175,0.0275,0.35386,0.01545,0.4382,1.3222,
host_col_model/host_colour_broken_mass_tanh_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34039,0.01545,0.4382,0.8324,
stretch/stretch_powerlaw_x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.3518,0.01544,0.4385,1.2473,
nuisance/no_alpha_gamma,Om0,truncated_gaussian,0.3175,0.0275,0.35137,0.01543,0.4389,1.2316,
sn_col_model/sncolour_tanh_c0,Om0,truncated_gaussian,0.3175,0.0275,0.35731,0.01543,0.4389,1.4476,
sn_col_model/sncolour_dust_c0,Om0,truncated_gaussian,0.3175,0.0275,0.35151,0.01543,0.4389,1.2367,
host_col_model/host_colour_linear_mass_linear_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.33528,0.01542,0.4393,0.6465,
stretch/stretch_powerlaw,Om0,truncated_gaussian,0.3175,0.0275,0.35118,0.01541,0.4396,1.2247,
mass/mass_gaussian_weight,Om0,truncated_gaussian,0.3175,0.0275,0.35335,0.0154,0.44,1.3036,
ssfr/ssfr_sigmoid_massstep_hcol_linear_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.32096,0.27981,0.4404,0.3581,
stretch/stretch_stepbroken_x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35136,0.01539,0.4404,1.2313,
stretch/stretch_stepbroken,Om0,truncated_gaussian,0.3175,0.0275,0.34158,0.01539,0.4404,0.8756,
nuisance/no_alpha,Om0,truncated_gaussian,0.3175,0.0275,0.35824,0.01538,0.4407,1.4815,
host_col_model/host_colour_quadratic_mass_linear_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34608,0.01538,0.4407,1.0393,
host_col_model/host_colour_asymm_mass_step_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34161,0.01536,0.4415,0.8767,
baseline,Om0,truncated_gaussian,0.3175,0.0275,0.35114,0.01536,0.4415,1.2233,
stretch/stretch_doublebroken,Om0,truncated_gaussian,0.3175,0.0275,0.35085,0.01535,0.4418,1.2127,
host_col_model/host_colour_sigmoid_mass_step_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34181,0.01535,0.4418,0.884,
sn_col_model/sncolour_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.35148,0.01534,0.4422,1.2356,
host_col_model/host_colour_linear_mass_step_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.34105,0.01534,0.4422,0.8564,
nuisance/no_beta,Om0,truncated_gaussian,0.3175,0.0275,0.4141,0.01533,0.4425,3.5127,prior_in_tension
host_col_model/host_colour_asymm_mass_sigmoid_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.33874,0.01532,0.4429,0.7724,
stretch/stretch_sigmoid_x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35235,0.0153,0.4436,1.2673,
host_col_model/host_colour_quadratic_mass_step_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34938,0.01529,0.444,1.1593,
evolution/alpha_z_log,Om0,truncated_gaussian,0.3175,0.0275,0.35241,0.01528,0.4444,1.2695,
host_col_model/host_colour_sigmoid_mass_linear_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.33466,0.01528,0.4444,0.624,
mass/mass_gaussian_weight_M0,Om0,truncated_gaussian,0.3175,0.0275,0.3533,0.01527,0.4447,1.3018,
host_col_model/host_colour_broken_mass_step_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.342,0.01526,0.4451,0.8909,
stretch/stretch_doublebroken_x1tau,Om0,truncated_gaussian,0.3175,0.0275,0.35153,0.01524,0.4458,1.2375,
host_col_model/host_colour_broken_mass_linear_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.33464,0.01524,0.4458,0.6233,
host_col_model/host_colour_asymm_mass_linear_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.3347,0.01524,0.4458,0.6255,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.33907,0.01523,0.4462,0.7844,
host_col_model/host_colour_broken_mass_sigmoid_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.33886,0.01522,0.4465,0.7767,
host_col_model/host_colour_linear_mass_sigmoid_inter_only,Om0,truncated_gaussian,0.3175,0.0275,0.33799,0.01517,0.4484,0.7451,
ssfr/ssfr_tanh_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.2346,0.27532,0.4494,0.5308,
sn_col_model/sncolour_stepbroken,Om0,truncated_gaussian,0.3175,0.0275,0.32859,0.01514,0.4495,0.4033,
sn_col_model/sncolour_tanh_c0_sntau,beta,truncated_gaussian,3.12,0.5,3.56409,0.27312,0.4538,0.8882,
ssfr/ssfr_tanh_massstep_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.23396,0.27112,0.4578,0.5321,
sn_col_model/sncolour_tanh_c0,beta,truncated_gaussian,3.12,0.5,3.58427,0.26891,0.4622,0.9285,
ssfr/ssfr_tanh_F0,F0,truncated_gaussian,-10.5,0.5,-10.27582,0.26801,0.464,0.4484,
sn_col_model/sncolour_stepbroken_c0_sntau,beta,truncated_gaussian,3.12,0.5,3.06746,0.25546,0.4891,-0.1051,
ssfr/ssfr_step_massstep_xi_sSFR_mass_M0F0,F0,truncated_gaussian,-10.5,0.5,-10.16719,0.25093,0.4981,0.6656,
ssfr/ssfr_step_massstep_M0,F0,truncated_gaussian,-10.5,0.5,-10.15551,0.24972,0.5006,0.689,
ssfr/ssfr_tanh_massstep_xi_sSFR_mass_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.2112,0.2484,0.5032,0.5776,
sn_col_model/sncolour_gaussweight_c0_sntau,beta,truncated_gaussian,3.12,0.5,3.48062,0.23831,0.5234,0.7212,
stretch/stretch_stepbroken_x10x1tau,alpha,truncated_gaussian,0.17,0.05,0.16842,0.02339,0.5322,-0.0316,
stretch/stretch_doublebroken_x10x1tau,alpha,truncated_gaussian,0.17,0.05,0.18043,0.02329,0.5342,0.2086,
ssfr/ssfr_step_F0,F0,truncated_gaussian,-10.5,0.5,-10.12441,0.22855,0.5429,0.7512,
ssfr/ssfr_tanh_nomass_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.15564,0.22251,0.555,0.6887,
ssfr/ssfr_tanh_massstep_hcol_linear_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.18904,0.21337,0.5733,0.6219,
interaction/beta_alpha,alpha,truncated_gaussian,0.17,0.05,0.19358,0.02061,0.5878,0.4716,
interaction/all_interaction_terms,alpha,truncated_gaussian,0.17,0.05,0.20873,0.02046,0.5908,0.7746,
ssfr/ssfr_tanh_nohcol_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.17916,0.20016,0.5997,0.6417,
host_col_model/host_colour_quadratic_mass_step_inter_only_M0,M0,truncated_gaussian,10.0,0.4,9.51531,0.15785,0.6054,-1.2117,
ssfr/ssfr_full_expansion_F0M0,F0,truncated_gaussian,-10.5,0.5,-10.07925,0.18934,0.6213,0.8415,
mass/mass_doublestep_M0_M1,M1,truncated_gaussian,10.5,0.5,10.73505,0.1789,0.6422,0.4701,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_only_M0,M0,truncated_gaussian,10.0,0.4,9.44253,0.14069,0.6483,-1.3937,
host_col_model/host_colour_quadratic_mass_tanh_inter_only_M0,M0,truncated_gaussian,10.0,0.4,9.45521,0.13812,0.6547,-1.362,
ssfr/ssfr_step_nomass_F0,F0,truncated_gaussian,-10.5,0.5,-10.05688,0.16383,0.6723,0.8862,
ssfr/ssfr_replace_both_tanh_nomass_nohcol_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.07989,0.14402,0.712,0.8402,
ssfr/ssfr_tanh_nomass_nohcol_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.07815,0.14097,0.7181,0.8437,
ssfr/ssfr_step_nohcol_F0,F0,truncated_gaussian,-10.5,0.5,-10.07097,0.13768,0.7246,0.8581,
stretch/stretch_powerlaw_x10x1tau,alpha,truncated_gaussian,0.17,0.05,0.17493,0.01221,0.7558,0.0986,
ssfr/ssfr_step_massstep_hcol_tanh_F0,F0,truncated_gaussian,-10.5,0.5,-10.04749,0.11127,0.7775,0.905,
interaction/gamma_alpha,alpha,truncated_gaussian,0.17,0.05,0.20168,0.00927,0.8146,0.6336,
stretch/stretch_powerlaw_x1tau,alpha,truncated_gaussian,0.17,0.05,0.17856,0.00893,0.8214,0.1712,
ssfr/ssfr_replace_both_step_nomass_nohcol_F0,F0,truncated_gaussian,-10.5,0.5,-10.01325,0.08363,0.8327,0.9735,
ssfr/ssfr_step_nomass_nohcol_F0,F0,truncated_gaussian,-10.5,0.5,-10.01238,0.08332,0.8334,0.9752,
stretch/stretch_tanh_x10x1tau,alpha,truncated_gaussian,0.17,0.05,0.18699,0.00773,0.8454,0.3398,
sn_col_model/sncolour_broken,beta,truncated_gaussian,3.12,0.5,3.08565,0.07489,0.8502,-0.0687,
stretch/stretch_asymm_x1tau,alpha,truncated_gaussian,0.17,0.05,0.18573,0.0072,0.856,0.3146,
stretch/stretch_asymm_x10x1tau,alpha,truncated_gaussian,0.17,0.05,0.18537,0.00699,0.8602,0.3074,
sn_col_model/sncolour_gaussweight,beta,truncated_gaussian,3.12,0.5,3.58058,0.06479,0.8704,0.9212,
interaction/all_interaction_terms,beta,truncated_gaussian,3.12,0.5,3.05059,0.0632,0.8736,-0.1388,
interaction/beta_gamma,beta,truncated_gaussian,3.12,0.5,3.042,0.0629,0.8742,-0.156,
sn_col_model/sncolour_gaussweight_sntau,beta,truncated_gaussian,3.12,0.5,3.12352,0.06075,0.8785,0.007,
evolution/alpha_beta_z_zz,alpha,truncated_gaussian,0.17,0.05,0.1772,0.00582,0.8836,0.144,
evolution/all_z_zz,alpha,truncated_gaussian,0.17,0.05,0.17637,0.0058,0.884,0.1274,
evolution/alpha_z_zz,alpha,truncated_gaussian,0.17,0.05,0.17692,0.00579,0.8842,0.1384,
ssfr/ssfr_full_expansion_F0M0,beta,truncated_gaussian,3.12,0.5,3.05151,0.05722,0.8856,-0.137,
evolution/alpha_beta_z_log,alpha,truncated_gaussian,0.17,0.05,0.17613,0.00572,0.8856,0.1226,
ssfr/ssfr_step_masslinear_xi_sSFR_mass,beta,truncated_gaussian,3.12,0.5,3.06137,0.05706,0.8859,-0.1173,
ssfr/ssfr_step_hcol_tanh_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.04476,0.05697,0.8861,-0.1505,
ssfr/ssfr_sigmoid_F0ftau_uniformftau,beta,truncated_gaussian,3.12,0.5,3.05967,0.05688,0.8862,-0.1207,
ssfr/ssfr_sigmoid_massstep_hcol_linear,beta,truncated_gaussian,3.12,0.5,3.04583,0.05692,0.8862,-0.1483,
ssfr/ssfr_step_hcol_tanh,beta,truncated_gaussian,3.12,0.5,3.04544,0.05692,0.8862,-0.1491,
ssfr/ssfr_step_massstep_xi_sSFR_mass_M0F0,beta,truncated_gaussian,3.12,0.5,3.06136,0.05687,0.8863,-0.1173,
ssfr/ssfr_omega_FSH,beta,truncated_gaussian,3.12,0.5,3.05346,0.05687,0.8863,-0.1331,
ssfr/ssfr_tanh_massstep_hcol_linear_F0ftau,beta,truncated_gaussian,3.12,0.5,3.04642,0.05679,0.8864,-0.1472,
host_col_model/host_colour_broken_mass_tanh_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.07865,0.05682,0.8864,-0.0827,
ssfr/ssfr_step_masslinear,beta,truncated_gaussian,3.12,0.5,3.06012,0.05682,0.8864,-0.1198,
ssfr/ssfr_step_hcol_linear_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.04916,0.05678,0.8864,-0.1417,
ssfr/ssfr_step_nohcol_F0,beta,truncated_gaussian,3.12,0.5,3.04557,0.05682,0.8864,-0.1489,
ssfr/ssfr_step_massstep_M0,beta,truncated_gaussian,3.12,0.5,3.05919,0.05682,0.8864,-0.1216,
ssfr/ssfr_step_hcol_sigmoid_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.04877,0.05679,0.8864,-0.1425,
ssfr/ssfr_step_hcol_sigmoid,beta,truncated_gaussian,3.12,0.5,3.04895,0.05679,0.8864,-0.1421,
ssfr/ssfr_tanh_massstep_F0ftau,beta,truncated_gaussian,3.12,0.5,3.05515,0.05675,0.8865,-0.1297,
ssfr/ssfr_tanh_F0,beta,truncated_gaussian,3.12,0.5,3.05568,0.05676,0.8865,-0.1286,
ssfr/ssfr_xi_sSFR_mass_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.05148,0.0567,0.8866,-0.137,
stretch/stretch_softbroken,beta,truncated_gaussian,3.12,0.5,3.11244,0.05664,0.8867,-0.0151,
ssfr/ssfr_tanh_nohcol_F0ftau,beta,truncated_gaussian,3.12,0.5,3.04725,0.05666,0.8867,-0.1455,
evolution/alpha_z_power,alpha,truncated_gaussian,0.17,0.05,0.17628,0.00566,0.8868,0.1256,
ssfr/ssfr_full_expansion,beta,truncated_gaussian,3.12,0.5,3.0545,0.0566,0.8868,-0.131,
ssfr/ssfr_full_expansion_F0M0,alpha,truncated_gaussian,0.17,0.05,0.17491,0.00566,0.8868,0.0982,
ssfr/ssfr_tanh_massstep_hcol_linear,beta,truncated_gaussian,3.12,0.5,3.0446,0.05658,0.8868,-0.1508,
ssfr/ssfr_step_massstep_hcol_linear,beta,truncated_gaussian,3.12,0.5,3.04875,0.05655,0.8869,-0.1425,
ssfr/ssfr_replace_both_step_nomass_nohcol,beta,truncated_gaussian,3.12,0.5,3.03279,0.05657,0.8869,-0.1744,
ssfr/ssfr_step_masssigmoid,beta,truncated_gaussian,3.12,0.5,3.05611,0.05654,0.8869,-0.1278,
ssfr/ssfr_tanh_ftau,beta,truncated_gaussian,3.12,0.5,3.05312,0.05654,0.8869,-0.1338,
ssfr/ssfr_sigmoid_massstep_hcol_linear_F0ftau,beta,truncated_gaussian,3.12,0.5,3.04854,0.05657,0.8869,-0.1429,
ssfr/ssfr_replace_both_tanh_nomass_nohcol_F0ftau,beta,truncated_gaussian,3.12,0.5,3.04009,0.05657,0.8869,-0.1598,
ssfr/ssfr_step_nomass_nohcol_F0,beta,truncated_gaussian,3.12,0.5,3.03836,0.05656,0.8869,-0.1633,
ssfr/ssfr_step,beta,truncated_gaussian,3.12,0.5,3.05358,0.05653,0.8869,-0.1328,
host_col_model/host_colour_broken_mass_sigmoid_inter_M0,beta,truncated_gaussian,3.12,0.5,3.08072,0.05653,0.8869,-0.0786,
ssfr/ssfr_replace_both_step_nomass_nohcol_F0,beta,truncated_gaussian,3.12,0.5,3.03883,0.05649,0.887,-0.1623,
evolution/alpha_beta_z_power,alpha,truncated_gaussian,0.17,0.05,0.1764,0.00565,0.887,0.128,
evolution/all_z_power,beta,truncated_gaussian,3.12,0.5,3.09371,0.05649,0.887,-0.0526,
ssfr/ssfr_step_hcol_asymm,beta,truncated_gaussian,3.12,0.5,3.04838,0.0565,0.887,-0.1432,
ssfr/ssfr_tanh_hcol_linear_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.04506,0.05648,0.887,-0.1499,
ssfr/ssfr_tanh_nomass_nohcol_F0ftau,beta,truncated_gaussian,3.12,0.5,3.03879,0.05643,0.8871,-0.1624,
sn_col_model/sncolour_tanh,beta,truncated_gaussian,3.12,0.5,3.1215,0.05645,0.8871,0.003,
ssfr/ssfr_xi_sSFR_col_FH_hcol_tanh,beta,truncated_gaussian,3.12,0.5,3.04173,0.05646,0.8871,-0.1565,
ssfr/ssfr_tanh_hcol_tanh_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.0402,0.05646,0.8871,-0.1596,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_M0,beta,truncated_gaussian,3.12,0.5,3.08521,0.05638,0.8872,-0.0696,
evolution/all_z_power,alpha,truncated_gaussian,0.17,0.05,0.17574,0.00564,0.8872,0.1148,
ssfr/ssfr_tanh_hcol_linear,beta,truncated_gaussian,3.12,0.5,3.04576,0.05638,0.8872,-0.1485,
ssfr/ssfr_step_massstep_hcol_tanh_F0,beta,truncated_gaussian,3.12,0.5,3.0479,0.0564,0.8872,-0.1442,
ssfr/ssfr_tanh_F0ftau_uniformftau,beta,truncated_gaussian,3.12,0.5,3.05586,0.05635,0.8873,-0.1283,
ssfr/ssfr_tanh_nomass_F0ftau,beta,truncated_gaussian,3.12,0.5,3.05173,0.05635,0.8873,-0.1365,
ssfr/ssfr_tanh_F0ftau,beta,truncated_gaussian,3.12,0.5,3.05493,0.05635,0.8873,-0.1301,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_only,beta,truncated_gaussian,3.12,0.5,3.09152,0.05635,0.8873,-0.057,
ssfr/ssfr_full_expansion_hcol_tanh,beta,truncated_gaussian,3.12,0.5,3.04337,0.05636,0.8873,-0.1533,
ssfr/ssfr_step_massstep_hcol_tanh,beta,truncated_gaussian,3.12,0.5,3.04565,0.05632,0.8874,-0.1487,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_M0,alpha,truncated_gaussian,0.17,0.05,0.17799,0.00563,0.8874,0.1598,
ssfr/ssfr_step_hcol_quadratic,beta,truncated_gaussian,3.12,0.5,3.04792,0.0563,0.8874,-0.1442,
mass/mass_spline,beta,truncated_gaussian,3.12,0.5,3.07869,0.05631,0.8874,-0.0826,
ssfr/ssfr_smooth_F0_sigmoid_wide_ftau,beta,truncated_gaussian,3.12,0.5,3.05795,0.05623,0.8875,-0.1241,
ssfr/ssfr_step_hcol_asymm_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.04957,0.05625,0.8875,-0.1409,
mass/mass_step_M0,beta,truncated_gaussian,3.12,0.5,3.08403,0.05623,0.8875,-0.0719,
ssfr/ssfr_xi_sSFR_col_FH_hcol_linear,beta,truncated_gaussian,3.12,0.5,3.04943,0.05625,0.8875,-0.1411,
ssfr/ssfr_sigmoid_F0,beta,truncated_gaussian,3.12,0.5,3.05792,0.05626,0.8875,-0.1242,
host_col_model/host_colour_broken_mass_step_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.08292,0.05619,0.8876,-0.0742,
cosmo/nonflatLCDM,beta,truncated_gaussian,3.12,0.5,3.09213,0.05622,0.8876,-0.0557,
evolution/alpha_z_log,alpha,truncated_gaussian,0.17,0.05,0.17612,0.00562,0.8876,0.1224,
evolution/beta_gamma_z_zz,beta,truncated_gaussian,3.12,0.5,3.10217,0.05619,0.8876,-0.0357,
