run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std
z_uncert/z_062_mass_step,2026-09-06T09:25:14,2000,4,1820,1816,-471.566,0.058,1760.926,0.9697,-462.9754,933.951,955.977,-28.67842,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17332,3.08721,0.06247,0.3417,0.00522,0.05509,0.01266,0.01508
z_uncert/z_050_mass_step,2026-09-06T09:25:20,2000,4,1820,1816,-465.542,0.057,1749.008,0.9631,-457.0165,922.033,944.059,-28.66994,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17342,3.10527,0.06416,0.34131,0.00531,0.05531,0.01245,0.01522
z_uncert/z_002_mass_step,2026-09-06T09:25:48,2000,4,1820,1816,-472.07,0.058,1761.633,0.9701,-463.3292,934.658,956.685,-28.67612,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17165,3.08199,0.06046,0.34536,0.00524,0.05551,0.01254,0.01528
z_uncert/z_029_mass_step,2026-09-06T09:25:50,2000,4,1820,1816,-468.523,0.057,1755.048,0.9664,-460.0366,928.073,950.1,-28.67244,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17196,3.10387,0.06028,0.34047,0.00529,0.05512,0.01278,0.01526
z_uncert/z_069_mass_step,2026-09-06T09:26:01,2000,4,1820,1816,-475.539,0.058,1768.454,0.9738,-466.7397,941.479,963.506,-28.67009,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17297,3.09265,0.06597,0.34598,0.0052,0.05495,0.01255,0.01524
z_uncert/z_049_mass_step,2026-09-06T09:26:11,2000,4,1820,1816,-466.602,0.057,1751.327,0.9644,-458.1759,924.352,946.378,-28.676,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.174,3.09925,0.06196,0.33989,0.00519,0.05465,0.01247,0.01518
z_uncert/z_032_mass_step,2026-09-06T09:26:11,2000,4,1820,1816,-462.246,0.057,1742.441,0.9595,-453.7332,915.466,937.493,-28.67519,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17178,3.09637,0.0585,0.34097,0.00525,0.05491,0.01261,0.01513
z_uncert/z_005_mass_step,2026-09-06T09:26:20,2000,4,1820,1816,-469.616,0.057,1757.182,0.9676,-461.1034,930.207,952.233,-28.67973,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17221,3.08406,0.06127,0.3408,0.0052,0.05458,0.01259,0.01516
z_uncert/z_060_mass_step,2026-09-06T09:26:21,2000,4,1820,1816,-475.861,0.057,1769.878,0.9746,-467.4514,942.903,964.929,-28.67751,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17084,3.09938,0.06139,0.3375,0.00521,0.05468,0.01258,0.01512
z_uncert/z_000_mass_step,2026-09-06T09:26:24,2000,4,1820,1816,-471.076,0.058,1759.82,0.9691,-462.4226,932.845,954.872,-28.6791,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17051,3.07976,0.06132,0.34347,0.00527,0.05544,0.0127,0.01521
z_uncert/z_034_mass_step,2026-09-06T09:26:28,2000,4,1820,1816,-476.053,0.059,1769.375,0.9743,-467.2,942.4,964.426,-28.67712,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17155,3.07563,0.06199,0.34709,0.00522,0.05442,0.01264,0.01511
z_uncert/z_058_mass_step,2026-09-06T09:26:41,2000,4,1820,1816,-478.393,0.058,1774.299,0.977,-469.6619,947.324,969.35,-28.6724,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1725,3.0869,0.05843,0.34714,0.00518,0.05438,0.0126,0.01499
z_uncert/z_074_mass_step,2026-09-06T09:26:42,2000,4,1820,1816,-456.509,0.058,1730.807,0.9531,-447.9161,903.832,925.859,-28.67368,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17068,3.09008,0.06721,0.34299,0.00523,0.05526,0.01266,0.0152
z_uncert/z_004_mass_step,2026-09-06T09:26:52,2000,4,1820,1816,-458.126,0.057,1734.248,0.955,-449.6364,907.273,929.299,-28.67477,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17511,3.0978,0.06574,0.34037,0.00521,0.05481,0.01258,0.01513
z_uncert/base_mass_step,2026-09-06T09:26:56,2000,4,1820,1816,-452.855,0.058,1723.478,0.9491,-444.2515,896.503,918.529,-28.67382,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17227,3.0951,0.06201,0.34226,0.00523,0.05514,0.01253,0.01532
z_uncert/z_017_mass_step,2026-09-06T09:27:05,2000,4,1820,1816,-458.885,0.058,1735.544,0.9557,-450.2846,908.569,930.596,-28.66737,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17288,3.11311,0.06455,0.34072,0.00528,0.05526,0.01268,0.01527
z_uncert/z_078_mass_step,2026-09-06T09:27:13,2000,4,1820,1816,-470.766,0.058,1759.326,0.9688,-462.1755,932.351,954.377,-28.67297,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17317,3.09825,0.06278,0.34184,0.00521,0.05587,0.01272,0.01517
z_uncert/z_041_mass_step,2026-09-06T09:27:31,2000,4,1820,1816,-473.161,0.058,1764.18,0.9715,-464.6023,937.205,959.231,-28.67252,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17118,3.09765,0.05999,0.34113,0.00517,0.05473,0.01246,0.01506
z_uncert/z_056_mass_step,2026-09-06T09:27:34,2000,4,1820,1816,-460.655,0.058,1738.965,0.9576,-451.9948,911.99,934.016,-28.6728,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17254,3.09569,0.06031,0.34284,0.00524,0.05535,0.01264,0.01524
z_uncert/z_072_mass_step,2026-09-06T09:27:38,2000,4,1820,1816,-469.945,0.058,1757.565,0.9678,-461.295,930.59,952.616,-28.67142,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17415,3.1,0.05985,0.34438,0.00522,0.05437,0.01266,0.01537
z_uncert/z_053_mass_step,2026-09-06T09:27:53,2000,4,1820,1816,-479.228,0.057,1776.63,0.9783,-470.8278,949.656,971.682,-28.66817,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17302,3.11547,0.06307,0.34024,0.00521,0.05387,0.01244,0.01531
z_uncert/z_038_mass_step,2026-09-06T09:28:13,2000,4,1820,1816,-474.393,0.057,1766.789,0.9729,-465.9069,939.814,961.84,-28.66714,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17344,3.1204,0.06111,0.3393,0.00523,0.05524,0.01246,0.0152
z_uncert/z_064_mass_step,2026-09-06T09:28:14,2000,4,1820,1816,-482.542,0.058,1782.604,0.9816,-473.8146,955.629,977.656,-28.66462,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.16985,3.10917,0.05752,0.34617,0.00526,0.05541,0.01265,0.01541
z_uncert/z_073_mass_step,2026-09-06T09:28:26,2000,4,1820,1816,-472.386,0.058,1762.522,0.9706,-463.7735,935.547,957.573,-28.66958,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17374,3.10065,0.06177,0.34383,0.00521,0.05507,0.01248,0.01533
z_uncert/z_010_mass_step,2026-09-06T09:28:35,2000,4,1820,1816,-459.474,0.057,1737.155,0.9566,-451.0901,910.18,932.207,-28.67848,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17355,3.09129,0.06211,0.33835,0.00529,0.05453,0.01243,0.01512
z_uncert/z_001_mass_step,2026-09-06T09:28:39,2000,4,1820,1816,-489.814,0.058,1796.988,0.9895,-481.0064,970.013,992.039,-28.66496,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1728,3.1129,0.05908,0.34473,0.00528,0.05522,0.01264,0.01535
