run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std
z_uncert/z_044_mass_step,2026-09-06T09:33:33,2000,4,1820,1816,-468.873,0.058,1754.838,0.9663,-459.9315,927.863,949.889,-28.66492,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17088,3.09824,0.05872,0.35004,0.00532,0.05488,0.01277,0.01533
z_uncert/z_019_mass_step,2026-09-06T09:33:37,2000,4,1820,1816,-460.982,0.058,1739.529,0.9579,-452.2771,912.554,934.581,-28.66977,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17202,3.09896,0.06267,0.34445,0.00524,0.05525,0.01254,0.0152
z_uncert/z_068_mass_step,2026-09-06T09:33:48,2000,4,1820,1816,-464.256,0.058,1746.06,0.9615,-455.5426,919.085,941.112,-28.67325,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17303,3.0901,0.05708,0.34514,0.00525,0.05548,0.0128,0.0152
z_uncert/z_025_mass_step,2026-09-06T09:33:57,2000,4,1820,1816,-472.608,0.059,1762.328,0.9704,-463.6765,935.353,957.379,-28.66832,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17209,3.09321,0.063,0.3476,0.00527,0.05573,0.01259,0.01535
z_uncert/z_065_mass_step,2026-09-06T09:34:10,2000,4,1820,1816,-459.451,0.058,1736.23,0.9561,-450.6275,909.255,931.281,-28.6651,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17373,3.10291,0.06501,0.34528,0.00532,0.05556,0.01275,0.01521
z_uncert/z_024_mass_step,2026-09-06T09:34:13,2000,4,1820,1816,-481.445,0.058,1780.476,0.9804,-472.7504,953.501,975.527,-28.67686,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17385,3.08492,0.06482,0.34319,0.00527,0.0545,0.0125,0.01528
z_uncert/z_031_mass_step,2026-09-06T09:34:22,2000,4,1820,1816,-468.064,0.058,1753.747,0.9657,-459.3862,926.772,948.799,-28.66986,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17243,3.09449,0.06175,0.34614,0.00521,0.05518,0.01258,0.0151
z_uncert/z_012_mass_step,2026-09-06T09:34:47,2000,4,1820,1816,-466.572,0.058,1750.771,0.9641,-457.8981,923.796,945.823,-28.67488,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17422,3.0868,0.06813,0.34364,0.00521,0.05387,0.01258,0.01528
z_uncert/z_040_mass_step,2026-09-06T09:35:29,2000,4,1820,1816,-467.815,0.057,1753.456,0.9656,-459.2406,926.481,948.508,-28.67009,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17232,3.1039,0.06321,0.34273,0.00533,0.05509,0.01266,0.01519
z_uncert/z_016_mass_step,2026-09-06T09:38:05,2000,4,1820,1816,-472.651,0.058,1762.732,0.9707,-463.8784,935.757,957.783,-28.67107,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17083,3.08851,0.06106,0.34754,0.00527,0.05503,0.0126,0.0152
