run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,sn_tau_mean,sn_tau_std,gamma_alpha_mean,gamma_alpha_std,zeta_mean,zeta_std
combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b01,2026-09-05T14:00:15,3000,6,1365,1359,-280.65,0.063,1236.172,0.9096,-265.6765,543.353,574.666,-28.70504,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,,40,logmass/0.70,,False,0.17822,3.03485,0.08976,0.34253,0.00649,0.06382,0.02161,0.0159,,,-0.2858,0.12753,-0.08766,0.0253
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b03,2026-09-05T14:02:12,3000,6,1365,1359,-365.333,0.061,1375.32,1.012,-350.2963,712.593,743.906,-28.497,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,,40,logmass/0.70,,False,0.17766,3.82176,0.05887,0.34696,0.00585,0.28479,0.01974,0.01862,1.35449,0.6144,,,-0.1281,0.02548
combo/fit_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T14:08:38,3000,6,1820,1814,-444.519,0.061,1675.018,0.9234,-429.8514,871.703,904.742,-28.46744,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,,40,logmass/0.70,,False,0.18232,3.77962,0.11087,0.34167,0.00608,0.27979,0.01652,0.0155,1.55129,0.68317,-0.36521,0.13832,,
combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b03,2026-09-05T14:09:41,3000,6,1365,1359,-366.71,0.063,1378.141,1.0141,-351.7064,715.413,746.726,-28.68628,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,,40,logmass/0.70,,False,0.17915,3.07449,0.06177,0.34459,0.00643,0.06483,0.02014,0.01849,,,-0.36663,0.12561,-0.12503,0.02473
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b02,2026-09-05T14:17:07,3000,6,1365,1359,-349.413,0.062,1367.067,1.0059,-334.0137,680.027,711.341,-28.48264,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,,40,logmass/0.70,,False,0.17343,3.78234,0.05796,0.3514,0.00603,0.31288,0.01972,0.01642,1.49228,0.71306,,,-0.12096,0.02517
combo/host_qual_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_all,2026-09-05T14:22:30,3000,6,1820,1814,-444.609,0.062,1675.022,0.9234,-429.8534,871.707,904.746,-28.47102,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,,40,logmass/0.70,,False,0.18238,3.79346,0.11119,0.34203,0.00611,0.28898,0.01657,0.01554,1.53071,0.6844,-0.36475,0.13789,,
combo/host_qual_mass_linear_ssfr_tanh_interaction_gammaalpha_all,2026-09-05T14:59:25,3000,6,1820,1814,-439.246,0.065,1662.627,0.9166,-423.6557,859.311,892.351,-28.69761,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,,40,logmass/0.70,,False,0.17775,3.06135,0.06441,0.34692,0.00578,0.05553,0.01869,0.01556,,,-0.33215,0.12365,-0.1043,0.02233
combo/fit_mass_linear_ssfr_tanh_interaction_gammaalpha,2026-09-05T15:04:30,3000,6,1820,1814,-439.278,0.065,1662.64,0.9166,-423.6624,859.325,892.364,-28.69529,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,,40,logmass/0.70,,False,0.17765,3.05949,0.06448,0.34707,0.00574,0.055,0.01893,0.01549,,,-0.33051,0.12242,-0.10452,0.02239
combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_all,2026-09-05T15:09:42,3000,6,1820,1814,-437.403,0.063,1658.914,0.9145,-421.7994,855.599,888.638,-28.49464,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,,40,logmass/0.70,,False,0.17548,3.76999,0.0614,0.35134,0.00525,0.29376,0.01805,0.01565,1.49282,0.67385,,,-0.10831,0.02281
combo/fit_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,2026-09-05T15:19:29,3000,6,1820,1814,-437.22,0.063,1658.894,0.9145,-421.7894,855.579,888.618,-28.4986,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,,40,logmass/0.70,,False,0.17546,3.77875,0.06114,0.35127,0.00535,0.28936,0.01836,0.01573,1.46953,0.65619,,,-0.10852,0.02276
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b00,2026-09-05T15:20:24,3500,7,1365,1358,-331.859,0.059,983.055,0.7239,-316.1684,646.337,682.869,-28.53043,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,,40,logmass/0.70,,False,0.17817,3.62855,0.04513,0.3356,0.00756,0.28222,0.02591,0.0224,2.00681,0.8492,-0.39412,0.21262,-0.08993,0.03201
combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_strict,2026-09-05T15:30:53,3500,7,1369,1362,-533.462,0.063,1410.254,1.0354,-515.4285,1044.857,1081.41,-28.48091,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,,40,logmass/0.70,,False,0.18129,3.63302,0.05676,0.35399,0.0073,0.2553,0.02484,0.02068,1.99352,0.82328,-0.29986,0.12639,-0.14786,0.03094
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b01,2026-09-05T15:32:56,3500,7,1365,1358,-279.768,0.063,1229.502,0.9054,-262.3414,538.683,575.215,-28.51063,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,,40,logmass/0.70,,False,0.17754,3.62914,0.09051,0.34597,0.00652,0.28292,0.02178,0.01602,1.83417,0.80765,-0.2804,0.12734,-0.0878,0.02533
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b03,2026-09-05T15:39:16,3500,7,1365,1358,-364.022,0.064,1365.765,1.0057,-345.5186,705.037,741.57,-28.49543,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,,40,logmass/0.70,,False,0.17864,3.8222,0.06167,0.34679,0.00645,0.29181,0.02033,0.01852,1.3615,0.623,-0.3667,0.12665,-0.12701,0.02511
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b02,2026-09-05T15:40:59,3500,7,1365,1358,-350.606,0.064,1363.154,1.0038,-332.0575,678.115,714.647,-28.49131,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,,40,logmass/0.70,,False,0.17497,3.78784,0.0611,0.35135,0.00638,0.31051,0.02054,0.01641,1.46687,0.69803,-0.26092,0.13193,-0.11715,0.02515
combo/fit_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T17:15:41,3500,7,1820,1813,-436.766,0.065,1651.002,0.9106,-417.8434,849.687,888.233,-28.48736,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,,40,logmass/0.70,,False,0.17713,3.77491,0.06535,0.35095,0.00574,0.28832,0.01875,0.01567,1.47422,0.6562,-0.32554,0.12141,-0.10555,0.02238
combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_all,2026-09-05T17:17:13,3500,7,1820,1813,-436.82,0.065,1651.032,0.9107,-417.8586,849.717,888.263,-28.50075,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,,40,logmass/0.70,,False,0.17729,3.7712,0.06576,0.35072,0.00581,0.28798,0.01903,0.0158,1.48811,0.67092,-0.32723,0.12302,-0.1053,0.02272
