run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,sn_tau_mean,sn_tau_std,gamma_alpha_mean,gamma_alpha_std,zeta_mean,zeta_std
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b00,2026-09-05T11:49:04,2500,5,1365,1360,-333.949,0.053,999.972,0.7353,-324.6272,659.254,685.349,-28.51078,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,,40,logmass/0.70,,False,0.17653,3.62682,0.0879,0.33398,0.00675,0.25581,0.0203,0.02216,2.05647,0.83607,,,,
combo/loo_zbin_mass_linear_interaction_gammaalpha_b00,2026-09-05T11:50:15,2500,5,1365,1360,-333.152,0.055,996.945,0.733,-323.1136,656.227,682.322,-28.66182,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,,40,logmass/0.70,,False,0.1864,3.10407,0.08922,0.33194,0.00788,0.06537,0.02099,0.02256,,,-0.61665,0.27841,,
combo/loo_zbin_mass_linear_interaction_gammaalpha_b03,2026-09-05T11:57:14,2500,5,1365,1360,-376.458,0.058,1406.085,1.0339,-365.6786,741.357,767.452,-28.66177,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,,40,logmass/0.70,,False,0.18464,3.11421,0.11037,0.33354,0.00665,0.06559,0.01841,0.01844,,,-0.40225,0.15404,,
combo/host_qual_mass_linear_interaction_gammaalpha_strict,2026-09-05T11:59:43,2500,5,1369,1364,-543.09,0.059,1442.383,1.0575,-531.4932,1072.986,1099.096,-28.61929,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0|gamma_alpha,,40,logmass/0.70,,False,0.19021,3.13104,0.12932,0.34987,0.00732,0.06458,0.01991,0.02064,,,-0.41502,0.15743,,
combo/loo_zbin_mass_linear_interaction_gammaalpha_b02,2026-09-05T12:01:17,2500,5,1365,1360,-359.981,0.058,1397.202,1.0274,-349.0812,708.162,734.257,-28.66858,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,,40,logmass/0.70,,False,0.18016,3.09905,0.10638,0.3367,0.00682,0.06301,0.01855,0.01602,,,-0.33535,0.16136,,
combo/host_qual_mass_linear_sncolour_softbroken_sntau_strict,2026-09-05T12:01:32,2500,5,1369,1364,-543.541,0.056,1444.389,1.0589,-532.4959,1074.992,1101.101,-28.43547,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0|sn_tau,,40,logmass/0.70,,False,0.18093,3.69118,0.12847,0.35167,0.00666,0.25923,0.01952,0.02055,1.93482,0.81073,,,,
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b01,2026-09-05T12:02:47,2500,5,1365,1360,-280.669,0.055,1245.972,0.9162,-270.5764,551.153,577.247,-28.49215,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,,40,logmass/0.70,,False,0.17393,3.68016,0.12175,0.33632,0.0059,0.28292,0.01845,0.01579,1.7995,0.79706,,,,
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b03,2026-09-05T12:02:58,2500,5,1365,1360,-374.692,0.056,1402.502,1.0313,-363.8874,737.775,763.869,-28.47343,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,,40,logmass/0.70,,False,0.17652,3.82403,0.10225,0.33309,0.00588,0.28299,0.01782,0.0182,1.47301,0.66274,,,,
combo/loo_zbin_mass_linear_interaction_gammaalpha_b01,2026-09-05T12:03:25,2500,5,1365,1360,-283.159,0.059,1249.239,0.9186,-272.2098,554.42,580.514,-28.68397,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,,40,logmass/0.70,,False,0.1809,3.06603,0.1259,0.33449,0.00687,0.0636,0.01906,0.01557,,,-0.24927,0.13513,,
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b02,2026-09-05T12:10:52,2500,5,1365,1360,-357.435,0.056,1391.551,1.0232,-346.2557,702.511,728.606,-28.45072,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,,40,logmass/0.70,,False,0.17265,3.7888,0.10103,0.33947,0.00605,0.30586,0.01779,0.01613,1.58939,0.74178,,,,
combo/loo_zbin_mass_linear_ssfr_tanh_b00,2026-09-05T12:16:44,2500,5,1365,1360,-331.049,0.057,991.682,0.7292,-320.4822,650.964,677.059,-28.6979,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,,40,logmass/0.70,,False,0.17838,3.07985,0.02541,0.33321,0.00682,0.06522,0.02681,0.02241,,,,,-0.11412,0.0321
combo/host_qual_mass_linear_ssfr_tanh_strict,2026-09-05T12:31:15,2500,5,1369,1364,-533.501,0.06,1422.616,1.043,-521.6093,1053.219,1079.328,-28.67823,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0|zeta,,40,logmass/0.70,,False,0.18392,3.09967,0.04325,0.34967,0.00666,0.06462,0.02546,0.02084,,,,,-0.16519,0.03152
