,alpha,beta,gamma,Om0,zeta
alpha,1.0,0.1162754233171358,0.2866445996573878,-0.026874230135194615,-0.014674613036402306
beta,0.1162754233171358,1.0,0.11356935770824464,-0.10159737798074506,0.1617712976399419
gamma,0.2866445996573878,0.11356935770824463,1.0,-0.1766373614834544,0.5048266712711055
Om0,-0.026874230135194625,-0.10159737798074506,-0.17663736148345438,1.0,-0.16164318423325394
zeta,-0.014674613036402296,0.1617712976399419,0.5048266712711055,-0.16164318423325397,1.0
