combo,kind,tag,fold,cone,cone_label,status,n_sne,logz,logz_err,pkl_path,active_params
mass_linear_ssfr_tanh,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_b01,1.0,,,ok,1365,-279.856751551195,0.0602937391313858,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_b01_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_ssfr_tanh,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_b02,2.0,,,ok,1365,-351.45556520168026,0.06091012578035841,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_b02_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_ssfr_tanh,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_b03,3.0,,,ok,1365,-368.2662845843205,0.06063603660103478,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_b03_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_ssfr_tanh,drill_ref,combo/drilling_all_mass_linear_ssfr_tanh,,,,ok,1820,-440.3498536279289,0.06425819910002192,Plots/combo/drilling_all_mass_linear_ssfr_tanh_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_ssfr_tanh,drill_cone,combo/drilling_00_mass_linear_ssfr_tanh,,0.0,"c00 (RA 53.5, Dec -28.2, N=580)",ok,580,-184.80211883028068,0.05233047282242622,Plots/combo/drilling_00_mass_linear_ssfr_tanh_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_ssfr_tanh,drill_cone,combo/drilling_01_mass_linear_ssfr_tanh,,1.0,"c01 (RA 35.8, Dec -5.0, N=520)",ok,520,-240.76314102381258,0.05166899111890293,Plots/combo/drilling_01_mass_linear_ssfr_tanh_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_ssfr_tanh,drill_cone,combo/drilling_02_mass_linear_ssfr_tanh,,2.0,"c02 (RA 8.8, Dec -43.6, N=283)",ok,283,-77.20948389418191,0.04623041235057879,Plots/combo/drilling_02_mass_linear_ssfr_tanh_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_ssfr_tanh,drill_cone,combo/drilling_03_mass_linear_ssfr_tanh,,3.0,"c03 (RA 41.7, Dec -0.7, N=240)",ok,240,-77.1285577428625,0.045558389051466704,Plots/combo/drilling_03_mass_linear_ssfr_tanh_results.pkl,"alpha,beta,gamma,Om0,zeta"
mass_linear_sncolour_softbroken_sntau,fit,combo/fit_mass_linear_sncolour_softbroken_sntau,,,,ok,1820,-444.9459359768931,0.05766714934902263,Plots/combo/fit_mass_linear_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,host_qual_all,combo/host_qual_mass_linear_sncolour_softbroken_sntau_all,,,,ok,1820,-444.96989379072255,0.057768768097919775,Plots/combo/host_qual_mass_linear_sncolour_softbroken_sntau_all_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
