,alpha,beta,gamma,Om0,gamma_alpha
alpha,1.0,0.07982933632315929,0.3913750462113932,0.0021605037712529545,-0.3135827744404189
beta,0.07982933632315929,1.0,0.004683206359697501,-0.07866646284971754,0.03454663252541803
gamma,0.3913750462113932,0.0046832063596975015,1.0,-0.08086776756638382,0.19758778701673865
Om0,0.002160503771252956,-0.07866646284971754,-0.08086776756638382,1.0,-0.07851895335954663
gamma_alpha,-0.3135827744404189,0.03454663252541803,0.19758778701673868,-0.07851895335954663,1.0
