,alpha,beta,gamma,Om0,sn_tau,zeta
alpha,1.0,-0.03990899724250732,0.27536593106936047,-0.029382574453148385,0.05780639522663215,-0.03375537984869664
beta,-0.03990899724250731,1.0,0.011901990029965887,0.042405209002222916,-0.864037803877437,-0.0008450889711919488
gamma,0.27536593106936047,0.011901990029965887,1.0,-0.16306759733061607,-0.00044098624614245796,0.4944211332137034
Om0,-0.029382574453148385,0.04240520900222289,-0.16306759733061607,1.0,-0.07164654174723399,-0.14725181372163998
sn_tau,0.05780639522663219,-0.864037803877437,-0.000440986246142459,-0.071646541747234,1.0,0.027769524502426732
zeta,-0.03375537984869665,-0.000845088971191939,0.4944211332137034,-0.14725181372164006,0.02776952450242674,1.0
