,alpha,beta,gamma,Om0
alpha,1.0,0.11419362777328598,0.3439954843211421,-6.561085877902922e-05
beta,0.11419362777328598,1.0,0.01627874285147528,-0.07633541120673189
gamma,0.343995484321142,0.016278742851475275,1.0,-0.04889036206548232
Om0,-6.56108587790273e-05,-0.07633541120673192,-0.04889036206548232,1.0
