combo,tag,pkl_path,active_params,n_sne,logz,logz_err,alpha_mean,alpha_std,beta_mean,beta_std,gamma_mean,gamma_std,Om0_mean,Om0_std,fold,z_lo,z_hi,n_heldout,mean_residual,mean_residual_err,alpha_median,beta_median,gamma_median,Om0_median,zeta_mean,zeta_std,zeta_median,sn_tau_mean,sn_tau_std,sn_tau_median,gamma_alpha_mean,gamma_alpha_std,gamma_alpha_median,flagged_2sigma
mass_step,combo/loo_zbin_mass_step_b00,Plots/combo/loo_zbin_mass_step_b00_results.pkl,"alpha,beta,gamma,Om0",1365,-337.943453007718,0.053318843532199706,0.17468235893544273,0.006745039444727203,3.1056990089597885,0.06425591195086243,0.050836075734083566,0.015378105270071754,0.3392085608311589,0.021873301336836837,0,0.02508999,0.324525,455,0.017065880161676265,0.016000344427608792,0.17473245165698434,3.1056346548612503,0.05078328677962225,0.3387364649164108,,,,,,,,,,False
mass_step,combo/loo_zbin_mass_step_b01,Plots/combo/loo_zbin_mass_step_b01_results.pkl,"alpha,beta,gamma,Om0",1365,-291.3823040755681,0.05540002479261145,0.17189530915696077,0.005977838932017441,3.0682305313807743,0.06323658139688498,0.07292389585865117,0.014679835740296451,0.3408795982577786,0.01576052067202095,1,0.324525,0.479345,455,0.007357554989418569,0.013052943737196008,0.1719318978325999,3.06750018459313,0.07290094353729516,0.3409560448672548,,,,,,,,,,False
mass_step,combo/loo_zbin_mass_step_b02,Plots/combo/loo_zbin_mass_step_b02_results.pkl,"alpha,beta,gamma,Om0",1365,-366.21466835707565,0.05555115231102711,0.17084554382512432,0.0060072614064378,3.107044471487661,0.06298864561103007,0.06239351537357349,0.014427617169253587,0.34177753241769476,0.016014115710502545,2,0.479345,0.6268874999999999,455,-0.01714764506337356,0.010062494606155034,0.17081757867817443,3.1064279247547244,0.06261725094486828,0.3417420439126678,,,,,,,,,,False
mass_step,combo/loo_zbin_mass_step_b03,Plots/combo/loo_zbin_mass_step_b03_results.pkl,"alpha,beta,gamma,Om0",1365,-384.2407350275195,0.05401391433297529,0.17440364104061043,0.00603946148036037,3.1094012392440797,0.06505396393598324,0.06205404197939333,0.014232471913076451,0.33325487683001753,0.018425933665066962,3,0.6268874999999999,1.14418001,455,-0.008450694469551325,0.010214139055020175,0.17441801699831952,3.109380217898556,0.06213446233530834,0.3330308526179266,,,,,,,,,,False
mass_linear,combo/loo_zbin_mass_linear_b00,Plots/combo/loo_zbin_mass_linear_b00_results.pkl,"alpha,beta,gamma,Om0",1365,-334.1372369742006,0.051475764343578936,0.1768849532801997,0.0068519348362936884,3.105680106068275,0.06464478540815026,0.08554040658326764,0.02032941101333066,0.33174921911856436,0.02261929426049882,0,0.02508999,0.324525,455,0.01770216059040214,0.01588028034097589,0.17695580413737183,3.105895552216619,0.0853009870900644,0.33148186686571446,,,,,,,,,,False
mass_linear,combo/loo_zbin_mass_linear_b01,Plots/combo/loo_zbin_mass_linear_b01_results.pkl,"alpha,beta,gamma,Om0",1365,-281.6985764845392,0.0539470237831436,0.17460317804205405,0.005864891121595416,3.069313375282149,0.06356586816184605,0.12049846985562418,0.018068611464468462,0.33287813477800593,0.015197186878332452,1,0.324525,0.479345,455,0.0027482681034546653,0.013086150487753965,0.17454698142742592,3.068786538334824,0.12047311226120258,0.33269341014185566,,,,,,,,,,False
mass_linear,combo/loo_zbin_mass_linear_b02,Plots/combo/loo_zbin_mass_linear_b02_results.pkl,"alpha,beta,gamma,Om0",1365,-359.329999657472,0.054219765955969085,0.1734239768661573,0.005980417962529851,3.108135872689944,0.06277795946696649,0.10047610728757443,0.017870177774052105,0.3351071229320689,0.01626134628234299,2,0.479345,0.6268874999999999,455,-0.018135492434143842,0.010017991921682397,0.1734886946130056,3.1080900704585193,0.1002382033158827,0.33490141115559174,,,,,,,,,,False
mass_linear,combo/loo_zbin_mass_linear_b03,Plots/combo/loo_zbin_mass_linear_b03_results.pkl,"alpha,beta,gamma,Om0",1365,-376.97810603810115,0.05286113361909956,0.1770096679793037,0.005947442945638793,3.1189025373323456,0.06512687653592962,0.10171880664471135,0.01785317847491234,0.3313272899429297,0.018299643430740586,3,0.6268874999999999,1.14418001,455,-0.0008185835888472053,0.01019290538790642,0.17704715673502264,3.11843652801341,0.1019002765937242,0.3312944241005955,,,,,,,,,,False
mass_linear_ssfr_tanh,combo/loo_zbin_mass_linear_ssfr_tanh_b00,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_b00_results.pkl,"alpha,beta,gamma,Om0,zeta",1365,-331.048720000974,0.05716375824551095,0.17838416863525752,0.006816324297927572,3.0798525847252556,0.0652235597603436,0.02541281333832111,0.026813213156699062,0.3332126034969413,0.022411772464114448,0,0.02508999,0.324525,455,0.0257522570064544,0.015790877922722348,0.17840999491864346,3.079685163310125,0.02511088249203638,0.3328688945893334,-0.11412259501886254,0.0321025616768253,-0.1140844253069297,,,,,,,False
mass_linear_ssfr_tanh,combo/loo_zbin_mass_linear_ssfr_tanh_b01,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_b01_results.pkl,"alpha,beta,gamma,Om0,zeta",1365,-279.856751551195,0.0602937391313858,0.17483521364102145,0.0059915527894453405,3.0369043054095597,0.0642472366505993,0.08944079109348253,0.020484131304747667,0.3414084238151169,0.015802966909015177,1,0.324525,0.479345,455,-0.0016540954508873884,0.012983600608450198,0.17493243687013987,3.037077346535745,0.08944043671278673,0.3413585011895764,-0.083302352686973,0.0253516858944168,-0.08368051686963236,,,,,,,False
mass_linear_ssfr_tanh,combo/loo_zbin_mass_linear_ssfr_tanh_b02,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_b02_results.pkl,"alpha,beta,gamma,Om0,zeta",1365,-351.45556520168026,0.06091012578035841,0.1741202720620998,0.00605467464729214,3.063781026161428,0.06371654310131827,0.05793740647974133,0.01985308487896913,0.34673405567350263,0.016447333105783567,2,0.479345,0.6268874999999999,455,-0.01662492600030968,0.009997327842881279,0.17405522841093254,3.063923805758872,0.05792823903863834,0.3466989647172876,-0.11925708830989253,0.025280097675364037,-0.11904044809370405,,,,,,,False
