,alpha,beta,gamma,Om0,gamma_alpha,zeta
alpha,1.0,0.11088277551628169,0.48810223183206636,-0.06154982474564165,-0.016824075183512914,0.16904394855696686
beta,0.11088277551628169,1.0,0.05152029993547724,-0.09535393899090902,-0.009313152173053191,0.11199437811496726
gamma,0.48810223183206636,0.05152029993547724,1.0,-0.13868688756209688,0.07443801720161887,0.4832349876689864
Om0,-0.06154982474564165,-0.09535393899090902,-0.13868688756209688,1.0,-0.007835490501992299,-0.1249633502573098
gamma_alpha,-0.016824075183512907,-0.009313152173053181,0.07443801720161888,-0.007835490501992295,1.0,-0.20108416201291482
zeta,0.16904394855696692,0.11199437811496725,0.4832349876689864,-0.1249633502573098,-0.20108416201291482,1.0
