,alpha,beta,gamma,Om0,gamma_alpha,sn_tau
alpha,1.0,0.001934763891292053,0.39104409892709985,-0.013078330054965642,-0.32099114090471487,0.01834515910694502
beta,0.0019347638912920536,1.0,0.028300513813007567,0.04365119005913782,0.024075035529898755,-0.8673153769346134
gamma,0.3910440989270998,0.02830051381300758,1.0,-0.09868731216954697,0.1879921326572149,-0.021282789331775246
Om0,-0.013078330054965647,0.04365119005913782,-0.09868731216954697,1.0,-0.07801122882474457,-0.060538990295972206
gamma_alpha,-0.32099114090471487,0.024075035529898755,0.18799213265721487,-0.07801122882474457,1.0,-0.005452157881110784
sn_tau,0.018345159106945008,-0.8673153769346134,-0.02128278933177524,-0.060538990295972206,-0.005452157881110782,1.0
