,alpha,beta,gamma,Om0,sn_tau
alpha,1.0,-0.009473457610293973,0.3473884416465056,-0.048401289455236154,0.031952273392243824
beta,-0.009473457610293973,1.0,0.020439037510131777,0.059065455707186874,-0.8659530389450734
gamma,0.3473884416465056,0.020439037510131763,1.0,-0.11906776361134713,-0.012348245361970994
Om0,-0.048401289455236154,0.05906545570718691,-0.11906776361134716,1.0,-0.0836371845564279
sn_tau,0.03195227339224384,-0.8659530389450734,-0.012348245361971006,-0.08363718455642791,1.0
