,alpha,beta,gamma,Om0
alpha,1.0,0.09833658502963763,0.3382530452768931,-0.034911993332460166
beta,0.09833658502963764,1.0,0.020147279150379255,-0.0793699153479367
gamma,0.33825304527689315,0.02014727915037926,1.0,-0.11620557595299931
Om0,-0.034911993332460166,-0.07936991534793672,-0.11620557595299932,1.0
