,alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta
alpha,1.0,0.003395773189973939,0.48201278108794704,-0.06891334188126842,-0.024570042229513082,0.023810628831870437,0.1744688783062516
beta,0.003395773189973941,1.0,0.03534793297878187,0.04506613412457868,0.01571643058855801,-0.8632350649650069,0.01033078238759051
gamma,0.4820127810879471,0.03534793297878187,1.0,-0.14945039960044207,0.06584400350526526,-0.017972170509610454,0.4898998270632878
Om0,-0.06891334188126846,0.045066134124578675,-0.14945039960044204,1.0,-0.010156068952878404,-0.0740022836251845,-0.11637908595323944
gamma_alpha,-0.024570042229513086,0.01571643058855801,0.06584400350526526,-0.010156068952878402,1.0,-0.017662917304952955,-0.2052586429885948
sn_tau,0.023810628831870448,-0.8632350649650069,-0.01797217050961046,-0.07400228362518448,-0.017662917304952973,1.0,0.01937804194312285
zeta,0.1744688783062516,0.010330782387590519,0.4898998270632878,-0.11637908595323944,-0.2052586429885948,0.019378041943122853,1.0
